schema_version,study_id,security_service_cv,immigration_service_cv,scenario_id,reference_scenario_id,metric,difference_direction,comparison_method,n_pairs,difference_mean,standard_deviation,standard_error,degrees_of_freedom,ci_level,ci_low,ci_high,crn_alignment_status,analysis_role
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0.5,SERVICE_VARIABILITY_SCV050_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,time_weighted_mean_security_waiting_queue,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,-0.0153120833797,0.262047906909,0.0370591703943,49,0.95,-0.0897852745126,0.0591611077531,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0.5,SERVICE_VARIABILITY_SCV050_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,time_weighted_mean_immigration_waiting_queue,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,0.172803998919,0.520998833206,0.0736803615901,49,0.95,0.0247377688053,0.320870229034,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0.5,SERVICE_VARIABILITY_SCV050_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,time_weighted_mean_total_waiting_queue,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,0.15749191554,0.555080193546,0.0785001937918,49,0.95,-0.000260130014064,0.315243961094,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0.5,SERVICE_VARIABILITY_SCV050_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,system_time_p95_seconds,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,20.5046045301,2.8966592471,0.409649479282,49,0.95,19.6813830806,21.3278259795,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0.5,SERVICE_VARIABILITY_SCV050_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,system_time_p99_seconds,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,34.717031075,5.78234915609,0.817747659892,49,0.95,33.0737056275,36.3603565225,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0.5,SERVICE_VARIABILITY_SCV050_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,system_time_max_seconds,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,54.3011589922,12.2896724608,1.73802214712,49,0.95,50.8084727237,57.7938452606,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0.5,SERVICE_VARIABILITY_SCV050_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,cutoff_backlog,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,0.12,3.36027209783,0.475214237401,49,0.95,-0.834978763812,1.07497876381,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0.5,SERVICE_VARIABILITY_SCV050_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,cohort_clear_time_after_cutoff_seconds,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,27.9510941935,13.1903189567,1.86539279606,49,0.95,24.2024470231,31.699741364,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,1,SERVICE_VARIABILITY_SCV050_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,total_queue_wait_p95_seconds,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,1.85882524314,3.47737253538,0.491774740097,49,0.95,0.870566903196,2.84708358308,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,1,SERVICE_VARIABILITY_SCV050_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,total_queue_wait_mean_seconds,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,0.36478283293,0.974215203092,0.137774835288,49,0.95,0.0879139356353,0.641651730225,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
